Entity;GDP per capita (USD);Life satisfaction
Ecuador ;11.896.375;5.976
Estonia;31.038.805;5.517
Ethiopia;17.790.841;4.508
Finland;45072.59;7.413
France;43.345.785;6.478
Gabon;15.510.039;4.121
Georgia;12605.14;4.252
Germany;51.159.297;6.994
Ghana;47.859.946;4.276
Greece;28.260.387;5.033
Guatemala;8.125.656;6.324
Guinea;2.087.935;3.607
Haiti;3.102.345;4.028
Honduras;5.283.417;4.871
Hong Kong;57215.95;5.458
Hungary;27.531.645;5.145
Iceland;52.142.934;7.501
India;5.464.394;4.404
Indonesia;10.149.604;5.314
Iran;12.698.109;4.813
Iraq;9.946.977;4.575
Ireland;71.508.734;6.907
Israel;37.306.133;7.267
Italy;40247.83;5.977
Jamaica;9.473.106;5.51
Japan;40.402.582;5.921
Jordan;10.145.837;5.303
Kazakhstan;24.290.418;5.919
Kenya;4.075.502;4.356
Pakistan;42.783.467;5.132
Panama;28.430.984;6.701
Paraguay;11828.14;5.538
Peru;12.110.267;5.743
Philippines;7.300.136;5.279
Poland;27.797.059;5.835
Portugal;31.118.791;5.123
Puerto Rico;34311.04;7.039
Qatar;95965.25;6.375
Ukraine;11.216.118;4.324
United Arab Emirates;65.267.414;6.573
